ID;ID_Enfermedad;ID_Localizacion
1;01;L04
2;01;L05
3;01;L07
4;01;L03
5;05;L03
6;02;L04
7;02;L05
8;02;L05
9;03;L08
10;03;L05
11;03;L02
12;03;L04
13;04;L05
14;04;L04
15;04;L05
16;06;L06
17;07;L07
18;07;L07
19;08;L05
20;08;L05
21;09;L02
22;10;L04
23;10;L07
24;10;L04
25;10;L07
26;10;L04
27;11;L03
28;11;L02
29;11;L03
30;11;L03
31;12;L04
32;12;L05
33;13;L04
34;13;L05
35;13;L07
36;13;L07
37;14;L08
38;14;L02
39;14;L04
40;14;L04
41;15;L04
42;16;L05
43;16;L04
44;16;L05
45;16;L07
46;16;L04
47;17;L05
48;17;L07
49;18;L04
50;18;L07
51;18;L04
52;18;L07
53;19;L08
54;19;L05
55;20;L05
56;21;L08
57;21;L05
58;21;L07
59;22;L07
60;23;L08
61;23;L08
62;24;L04
63;24;L05
64;25;L05
65;26;L05
